"","qv_anno","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reg","fc","pseudo","threshold","peak","volx","voly","peakvolx","peakvoly","text","gene","desc","AltID"
"1","QV15_00005",9076.02886130125,-0.0834434284693524,0.0762292327360037,-1.09463817848374,0.273675182560835,0.376339576442122,"up",0.943802286367767,94.3802286367767,"FALSE","normal",-0.0834434284693524,0.424420108210441,-0.0834434284693524,0.424420108210441,"null","USA300HOU_0001|dnaA|chromosomal replication initiation protein, ","USA300HOU_0001|dnaA,|(RefSeq) chromosomal replication initiation protein, |sax02020 Two-component system;","SAR0001"
"2","QV15_00010",11191.186694899,-0.13248965758955,0.0444277964596504,-2.98213434262664,0.00286246360233574,0.00708571288697846,"up",0.912255812012554,91.2255812012554,"FALSE","normal",-0.13248965758955,2.14961644925477,-0.13248965758955,2.14961644925477,"null","USA300HOU_0002|dnaN|Dpolymerase III subunit beta (EC:2.7.7.7), ","USA300HOU_0002|dnaN,|(RefSeq) DNA polymerase III subunit beta (EC:2.7.7.7), |sax00230 Purine metabolism; sax00240 Pyrimidine metabolism; sax01100 Metabolic pathways; sax03030 DNA replication; sax03430 Mismatch repair; sax03440 Homologous recombination;","SAR0002"
"3","QV15_00015",1730.40958954345,0.0787919885756181,0.0983434054977186,0.801192394923175,0.423020273260107,0.533444779331887,"down",1.05613333839435,105.613333839435,"FALSE","normal",0.0787919885756181,0.27291053082748,0.101144039293489,0.383619874926412,"G129D","USA300HOU_0003|SAR0003|hypothetical protein, ","USA300HOU_0003|CDS|(RefSeq) hypothetical protein, |UNKNOWN","SAR0003"
"4","QV15_00020",7840.10732116576,0.0690512700476745,0.0478517607865695,1.44302464345377,0.149013529315396,0.229299089810961,"down",1.04902660689383,104.902660689383,"FALSE","normal",0.0690512700476745,0.639597669172641,0.104296508079499,1.24142073312748,"G129D","USA300HOU_0004|recF|recombination protein F, ","USA300HOU_0004|recF,|(RefSeq) recombination protein F, |sax03440 Homologous recombination;","SAR0004"
"5","QV15_00025",15342.7043566805,0.0825428194565412,0.0757210370331913,1.09009097987339,0.275673069277493,0.378686208801376,"down",1.05888272855796,105.888272855796,"FALSE","normal",0.0825428194565412,0.421720510961886,0.132938990743922,0.70545314548052,"R61H","USA300HOU_0005|gyrB|Dtopoisomerase (ATP-hydrolyzing) subunit B (EC:5.99.1.3), ","USA300HOU_0005|gyrB,|(RefSeq) DNA topoisomerase (ATP-hydrolyzing) subunit B (EC:5.99.1.3), |UNKNOWN","SAR0005"
"6","QV15_00030",25989.2961959084,-0.0552024871734909,0.085683247772441,-0.644262310412165,0.519405351299227,0.62123079062434,"up",0.962459349166607,96.2459349166607,"FALSE","normal",-0.0552024871734909,0.206747027079264,-0.0826866655280793,0.325431657193615,"R61E","USA300HOU_0006|gyrA|Dtopoisomerase (ATP-hydrolyzing) subunit A (EC:5.99.1.3), ","USA300HOU_0006|gyrA,|(RefSeq) DNA topoisomerase (ATP-hydrolyzing) subunit A (EC:5.99.1.3), |UNKNOWN","SAR0006"
"7","QV15_00035",1655.61472697177,0.0302614703708618,0.0852999593653419,0.354765355060149,0.722765384953168,0.790577883335823,"down",1.02119718811126,102.119718811126,"FALSE","normal",0.0302614703708618,0.102055339347415,0.217495803605713,1.64386988726446,"G129D","USA300HOU_0007|SAR0007|hypothetical protein, ","USA300HOU_0007|CDS|(RefSeq) hypothetical protein, |UNKNOWN","SAR0007"
"8","QV15_00040",266.823483033852,0.460020590343025,0.17086231895961,2.6923466399386,0.00709511583451403,0.0158438802490404,"down",1.37556145020279,137.556145020279,"FALSE","normal",0.460020590343025,1.80013844873287,1.03534596684683,8.43140124021207,"G129D","USA300HOU_0008|hutH|histidine ammonia-lyase (EC:4.3.1.3), ","USA300HOU_0008|hutH,|(RefSeq) histidine ammonia-lyase (EC:4.3.1.3), |sax00340 Histidine metabolism; sax01100 Metabolic pathways;","SAR0008"
"9","QV15_00045",6762.49526730116,-0.560118270273764,0.0802839991680551,-6.97671112647605,3.02170116113677e-12,1.72602226764713e-11,"up",0.678246559668837,67.8246559668837,"FALSE","normal",-0.560118270273764,10.7629536056927,-0.560118270273764,10.7629536056927,"null","USA300HOU_0009|serS|seryl-tRsynthetase (EC:6.1.1.11), ","USA300HOU_0009|serS,|(RefSeq) seryl-tRNA synthetase (EC:6.1.1.11), |sax00970 Aminoacyl-tRNA biosynthesis;","SAR0009"
"10","QV15_00050",1330.96165044227,3.25787225656819,0.117021233299812,27.8400095837429,1.42311394270357e-170,4.10963681898509e-169,"down",9.56571134080247,956.571134080247,"TRUE","normal",3.25787225656819,168.386196556343,3.25787225656819,168.386196556343,"null","USA300HOU_0010|SAR0010|hypothetical protein, ","USA300HOU_0010|CDS|(RefSeq) hypothetical protein, |UNKNOWN","SAR0010"
"11","QV15_00055",1182.23673711487,3.65900440235347,0.159271808141394,22.9733337308834,8.61421007818466e-117,1.94681147766973e-115,"down",12.6319407332506,1263.19407332506,"TRUE","normal",3.65900440235347,114.710676101984,3.77843754902147,122.419453791815,"G129D","USA300HOU_0011|SAR0011|hypothetical protein, ","USA300HOU_0011|CDS|(RefSeq) hypothetical protein, |UNKNOWN","SAR0011"
"12","QV15_00060",1036.85906950567,2.89908656141554,0.123332186807374,23.506325773202,3.51430950834542e-122,8.15508072516941e-121,"down",7.45953944895126,745.953944895126,"TRUE","normal",2.89908656141554,120.088571735627,2.89908656141554,120.088571735627,"null","USA300HOU_0012|SAR0012|homoserine O-acetyltransferase (EC:2.3.1.31), ","USA300HOU_0012|metX,|(RefSeq) homoserine O-acetyltransferase (EC:2.3.1.31), |sax00270 Cysteine and methionine metabolism; sax01100 Metabolic pathways; sax01130 Biosynthesis of antibiotics;","SAR0012"
"13","QV15_00065",5377.79305684152,-0.0377978910897885,0.0628788466634584,-0.601122525228416,0.547758381484051,0.644757261538518,"up",0.974140727548884,97.4140727548884,"FALSE","normal",-0.0377978910897885,0.190603757947916,-0.0492878567345582,0.241142064204247,"R61E","USA300HOU_0013|SAR0013|hypothetical protein, ","USA300HOU_0013|CDS|(RefSeq) hypothetical protein, |UNKNOWN","SAR0013"
"14","QV15_00070",18213.844021732,-0.170814607604861,0.0654068392451287,-2.61157104633493,0.00901272590009657,0.0195552195037888,"up",0.888340944064531,88.8340944064531,"FALSE","normal",-0.170814607604861,1.70873730480777,-0.199185773740313,2.16512671725128,"R61E","USA300HOU_0014|SAR0014|DHH subfamily phosphodiesterase (EC:3.1.4.-), ","USA300HOU_0014|CDS|(RefSeq) DHH subfamily phosphodiesterase (EC:3.1.4.-), |UNKNOWN","SAR0014"
"15","QV15_00075",6423.57075259866,-0.144228538266647,0.0491557564970745,-2.93411288004959,0.00334502532498389,0.00808718215779827,"up",0.904863111570668,90.4863111570669,"FALSE","normal",-0.144228538266647,2.09220277461714,-0.178198212983752,2.94468222584243,"R61E","USA300HOU_0015|rplI|50S ribosomal protein L9, ","USA300HOU_0015|rplI,|(RefSeq) 50S ribosomal protein L9, |sax03010 Ribosome;","SAR0015"
"16","QV15_00080",11105.806198608,-0.12699455432662,0.0526720124587801,-2.41104427946441,0.0159069170979102,0.0325272049862066,"up",0.915737143001694,91.5737143001694,"FALSE","normal",-0.12699455432662,1.4877532533864,-0.190479045029156,2.94468222584243,"R61E","USA300HOU_0016|dnaC|replicative Dhelicase (EC:3.6.1.-), ","USA300HOU_0016|dnaB1,|(RefSeq) replicative DNA helicase (EC:3.6.1.-), |sax03030 DNA replication;","SAR0016"
